year;January;February;March;April;May;June;July;August;September;October;November;December
1978;;;;;;;;;;;2,184;1,816
1979;1,355;0,721;-0,689;-0,806;-1,794;-1,373;-2,529;-2,05;-0,174;2,713;1,984;2,249
1980;1,194;0,854;-0,248;-0,906;-2,021;-1,444;-2,492;-1,439;0,399;1,991;2,469;1,68
1981;1,361;0,183;-0,178;-0,96;-1,262;-1,411;-2,854;-1,654;0,115;2,191;2,114;2,323
1982;1,623;0,593;-0,388;-0,865;-1,739;-1,511;-2,596;-1,652;0,014;2,954;1,923;1,695
1983;1,393;0,733;-0,391;-1,483;-1,341;-1,185;-2,416;-2,002;0,249;2,577;1,986;1,536
1984;1,048;0,697;-0,079;-0,985;-1,417;-1,472;-2,71;-1,762;0,318;1,968;2,471;1,673
1985;1,681;0,41;0,265;-0,872;-1,583;-2,014;-2,993;-1,624;0,224;2,53;2,224;1,829
1986;1,578;0,761;-0,359;-1,045;-1,784;-1,273;-2,47;-1,545;0,325;2,405;2,019;1,672
1987;1,784;0,566;-0,515;-1,114;-1,353;-1,373;-2,711;-2,138;0,654;2,005;2,399;
1988;;0,71;-0,39;-1,023;-1,711;-1,621;-2,42;-1,521;0,465;2,113;2,426;1,825
1989;1,243;0,263;-0,389;-1,628;-0,833;-1,109;-2,719;-1,742;-0,005;2,784;2,295;1,6
1990;1,268;0,747;-0,411;-1,613;-1,177;-1,707;-3,117;-1,674;0,039;3,626;2,003;1,559
1991;1,326;0,807;-0,266;-1,02;-1,282;-1,585;-3,127;-1,408;-0,364;3,084;2,092;2,127
1992;1,35;0,306;-0,043;-1,262;-1,292;-1,186;-2,519;-1,857;0,71;1,971;2,4;1,43
1993;1,689;0,096;0,065;-1,246;-1,765;-1,436;-2,724;-2,015;0,411;2,971;2,153;1,888
1994;1,41;0,299;-0,117;-1,034;-1,447;-1,683;-2,533;-1,633;0,315;2,565;1,913;2,019
1995;0,904;0,427;-0,02;-1,459;-1,571;-1,486;-2,992;-1,525;-0,188;3,645;2,024;1,849
1996;0,991;0,626;-0,249;-1,149;-1,104;-1,086;-2,526;-1,572;0,62;1,576;1,519;2,367
1997;1,182;0,686;-0,191;-1,18;-1,53;-1,619;-2,612;-1,604;0,055;2,682;2,23;2,14
1998;1,481;0,612;-0,508;-1,065;-1,471;-2,157;-2,192;-1,726;-0,101;2,522;1,97;2,458
1999;1,075;0,708;0,114;-0,981;-1,374;-2,575;-2,034;-2,308;0,487;2,95;1,6;1,966
2000;1,601;0,407;-0,161;-0,983;-1,614;-1,525;-2,699;-1,888;0,122;2,801;1,79;2,141
2001;1,419;0,827;-0,33;-0,794;-1,679;-2,324;-2,213;-1,243;-0,035;2,301;1,939;2,261
2002;1,486;0,479;-0,378;-1,206;-1,388;-1,486;-2,987;-1,997;0,289;2,902;2,276;1,998
2003;1,406;0,647;-0,003;-1,569;-1,317;-1,781;-2,667;-1,669;-0,283;2,902;1,927;2,329
2004;1,002;0,832;-0,324;-1,407;-1,241;-1,367;-2,479;-2,297;0,312;2,565;2,286;1,792
2005;1,032;0,666;-0,264;-0,703;-1,437;-1,978;-2,949;-1,639;-0,201;3,553;1,992;1,9
2006;0,833;0,534;-0,118;-0,794;-1,448;-2,054;-2,411;-1,533;-0,14;3,016;1,219;2,852
2007;1,295;0,453;-0,386;-0,847;-1,197;-2,024;-3,539;-2,029;-0,351;3,704;2,636;2,306
2008;1,577;0,718;-0,214;-1,232;-1,505;-1,974;-2,861;-2,493;-0,099;4,22;2,015;1,807
2009;1,403;0,63;-0,086;-0,714;-1,712;-1,963;-3,401;-1,681;0,058;2,904;2,48;2,19
2010;1,023;0,761;0,423;-1,066;-2,134;-2,649;-2,373;-1,8;-0,01;2,926;2,219;2,134
2011;1,505;0,488;0,005;-0,795;-1,636;-2,354;-2,975;-2,009;0,134;3,43;2,407;2,312
2012;1,019;0,888;0,254;-1,108;-1,617;-2,915;-3,018;-2,775;0,123;3,809;2,901;2,29
2013;1,426;0,8;-0,177;-1,176;-1,247;-2,172;-3,252;-1,69;0,158;3,241;2,2;1,856
2014;1,352;0,451;-0,039;-0,937;-1,426;-2,357;-2,686;-1,712;-0,032;3,427;2,084;2,041
2015;1,056;0,423;-0,102;-0,94;-1,626;-1,603;-3,166;-2,371;0,345;3,491;2,273;1,981
2016;1,127;0,58;-0,188;-1,116;-1,904;-1,672;-2,695;-2,382;0,674;1,937;2,607;2,782
2017;1,211;0,613;-0,098;-0,806;-1,313;-2,38;-2,894;-1,898;0,203;2,959;2,351;1,842
2018;1,185;0,73;0,064;-0,942;-1,633;-1,604;-3,204;-1,847;-0,146;2,942;3,037;1,61
2019;1,572;0,559;-0,403;-1,122;-1,454;-1,946;-3,386;-1,699;-0,011;2,84;2,856;2,51
2020;1,405;0,644;-0,627;-0,998;-1,59;-1,901;-3,627;-1,79;0,001;2,183;3,437;2,677
2021;1,463;0,318;0,03;-0,907;-1,407;-2,387;-3,079;-1,468;0,027;3,105;2,535;2,199
2022;1,284;0,433;-0,292;-0,887;-1,206;-2,493;-2,839;-1,835;-0,082;3,185;2,169;2,086
2023;1,103;0,724;-0,092;-0,655;-1,486;-2,296;-2,891;-2,235;-0,251;3,714;2,123;2,71
2024;1,094;0,728;0,003;-1,221;-1,514;-2,145;;;;;;
